Name	NOC	City	Year	Sport	Event	Medal
Eric Arthur Heiden	USA	Lake Placid	1980	Speed Skating	Speed Skating Men's 1,000 metres	Gold
Eric Arthur Heiden	USA	Lake Placid	1980	Speed Skating	Speed Skating Men's 1,500 metres	Gold
Eric Arthur Heiden	USA	Lake Placid	1980	Speed Skating	Speed Skating Men's 5,000 metres	Gold
Eric Arthur Heiden	USA	Lake Placid	1980	Speed Skating	Speed Skating Men's 10,000 metres	Gold
Jennifer Heil	CAN	Torino	2006	Freestyle Skiing	Freestyle Skiing Women's Moguls	Gold
Jennifer Heil	CAN	Vancouver	2010	Freestyle Skiing	Freestyle Skiing Women's Moguls	Silver
Alfred Heinrich	GER	Lake Placid	1932	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Carol Elizabeth Heiss (-Jenkins)	USA	Cortina d'Ampezzo	1956	Figure Skating	Figure Skating Women's Singles	Silver
Carol Elizabeth Heiss (-Jenkins)	USA	Squaw Valley	1960	Figure Skating	Figure Skating Women's Singles	Gold
Regine Heitzer	AUT	Innsbruck	1964	Figure Skating	Figure Skating Women's Singles	Silver
Milan Hejduk	CZE	Nagano	1998	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Milan Hejduk	CZE	Torino	2006	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Petr Hejma	TCH	Grenoble	1968	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Finn Helgesen	NOR	Sankt Moritz	1948	Speed Skating	Speed Skating Men's 500 metres	Gold
Anne Helin	FIN	Vancouver	2010	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Carl Marcus Joakim Hellner	SWE	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Men's 30 km Skiathlon	Gold
Carl Marcus Joakim Hellner	SWE	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Carl Marcus Joakim Hellner	SWE	Sochi	2014	Cross Country Skiing	Cross Country Skiing Men's 30 km Skiathlon	Silver
Carl Marcus Joakim Hellner	SWE	Sochi	2014	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Raimo Ilmari Helminen	FIN	Calgary	1988	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Raimo Ilmari Helminen	FIN	Lillehammer	1994	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Raimo Ilmari Helminen	FIN	Nagano	1998	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Heini Hemmi	SUI	Innsbruck	1976	Alpine Skiing	Alpine Skiing Men's Giant Slalom	Gold
Ale Hemsk	CZE	Torino	2006	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Sonja Henie (-Topping, -Gardiner, -Onstad)	NOR	Sankt Moritz	1928	Figure Skating	Figure Skating Women's Singles	Gold
Sonja Henie (-Topping, -Gardiner, -Onstad)	NOR	Lake Placid	1932	Figure Skating	Figure Skating Women's Singles	Gold
Sonja Henie (-Topping, -Gardiner, -Onstad)	NOR	Garmisch-Partenkirchen	1936	Figure Skating	Figure Skating Women's Singles	Gold
Andrea Henkel (-Burke)	GER	Salt Lake City	2002	Biathlon	Biathlon Women's 15 kilometres	Gold
Andrea Henkel (-Burke)	GER	Salt Lake City	2002	Biathlon	Biathlon Women's 4 x 7.5 kilometres Relay	Gold
Andrea Henkel (-Burke)	GER	Torino	2006	Biathlon	Biathlon Women's 4 x 6 kilometres Relay	Silver
Andrea Henkel (-Burke)	GER	Vancouver	2010	Biathlon	Biathlon Women's 4 x 6 kilometres Relay	Bronze
Manuela Henkel	GER	Salt Lake City	2002	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Gold
Reinhold ""Roy"" Henkel	CAN	Lake Placid	1932	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Barbara-Maria ""Barbi"" Henneberger	GER	Squaw Valley	1960	Alpine Skiing	Alpine Skiing Women's Slalom	Bronze
Anne Elizabeth Henning (-Walker)	USA	Sapporo	1972	Speed Skating	Speed Skating Women's 500 metres	Gold
Anne Elizabeth Henning (-Walker)	USA	Sapporo	1972	Speed Skating	Speed Skating Women's 1,000 metres	Bronze
Kenneth Charles ""Ken"" Henry	USA	Oslo	1952	Speed Skating	Speed Skating Men's 500 metres	Gold
Jukka Mika Petteri Hentunen	FIN	Torino	2006	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Maxi Herber (-Baier)	GER	Garmisch-Partenkirchen	1936	Figure Skating	Figure Skating Mixed Pairs	Gold
Reinfried Herbst	AUT	Torino	2006	Alpine Skiing	Alpine Skiing Men's Slalom	Silver
Erich Otto Friedrich Herker	GER	Lake Placid	1932	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Denise Herrmann	GER	Sochi	2014	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Bronze
Hugo Herrnhof	ITA	Lillehammer	1994	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Gold
Nicole Herschmann	GER	Salt Lake City	2002	Bobsleigh	Bobsleigh Women's Two	Bronze
Hans He	GER	Sankt Moritz	1928	Bobsleigh	Bobsleigh Men's Four/Five	Bronze
Erika Hess (-Reymond)	SUI	Lake Placid	1980	Alpine Skiing	Alpine Skiing Women's Slalom	Bronze
Veronika Hesse-Schmidt	GDR	Innsbruck	1976	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Bronze
Veronika Hesse-Schmidt	GDR	Lake Placid	1980	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Gold
Mats Gunnar Hessel	SWE	Sarajevo	1984	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Tor-Arne Hetland	NOR	Salt Lake City	2002	Cross Country Skiing	Cross Country Skiing Men's Sprint	Gold
Tor-Arne Hetland	NOR	Torino	2006	Cross Country Skiing	Cross Country Skiing Men's Team Sprint	Silver
Georg Hettich	GER	Salt Lake City	2002	Nordic Combined	Nordic Combined Men's Team	Silver
Georg Hettich	GER	Torino	2006	Nordic Combined	Nordic Combined Men's Team	Silver
Georg Hettich	GER	Torino	2006	Nordic Combined	Nordic Combined Men's Individual	Gold
Georg Hettich	GER	Torino	2006	Nordic Combined	Nordic Combined Men's Sprint	Bronze
Urban Hettich	FRG	Innsbruck	1976	Nordic Combined	Nordic Combined Men's Individual	Silver
James Frederic ""Jimmy"" Heuga	USA	Innsbruck	1964	Alpine Skiing	Alpine Skiing Men's Slalom	Bronze
Jessica Hewitt	CAN	Sochi	2014	Short Track Speed Skating	Short Track Speed Skating Women's 3,000 metres Relay	Silver
Delphyne Heymann-Burlet	FRA	Lillehammer	1994	Biathlon	Biathlon Women's 4 x 7.5 kilometres Relay	Bronze
Thomas Edward ""Ted"" Hibberd	CAN	Sankt Moritz	1948	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Thomas A. ""Tom"" Hicks	USA	Sankt Moritz	1948	Bobsleigh	Bobsleigh Men's Four	Bronze
Ulf Hielscher	GER	Lillehammer	1994	Bobsleigh	Bobsleigh Men's Four	Bronze
Mirja Kyllikki Hietamies (-Etelp)	FIN	Oslo	1952	Cross Country Skiing	Cross Country Skiing Women's 10 kilometres	Silver
Mirja Kyllikki Hietamies (-Etelp)	FIN	Cortina d'Ampezzo	1956	Cross Country Skiing	Cross Country Skiing Women's 3 x 5 kilometres Relay	Gold
Juuso Hietanen	FIN	Sochi	2014	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Jenni Hiirikoski	FIN	Vancouver	2010	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Tom Andr Hilde	NOR	Vancouver	2010	Ski Jumping	Ski Jumping Men's Large Hill, Team	Bronze
Paul-Peter Hildgartner	ITA	Sapporo	1972	Luge	Luge Mixed (Men)'s Doubles	Gold
Paul-Peter Hildgartner	ITA	Lake Placid	1980	Luge	Luge Men's Singles	Silver
Paul-Peter Hildgartner	ITA	Sarajevo	1984	Luge	Luge Men's Singles	Gold
Lyman Northrop Hine	USA	Sankt Moritz	1928	Bobsleigh	Bobsleigh Men's Four/Five	Silver
Garrett Hines	USA	Salt Lake City	2002	Bobsleigh	Bobsleigh Men's Four	Silver
Ernst Hinterseer	AUT	Squaw Valley	1960	Alpine Skiing	Alpine Skiing Men's Giant Slalom	Bronze
Ernst Hinterseer	AUT	Squaw Valley	1960	Alpine Skiing	Alpine Skiing Men's Slalom	Gold
Martin Hinterstocker, Sr.	FRG	Innsbruck	1976	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Ayumu Hirano	JPN	Sochi	2014	Snowboarding	Snowboarding Men's Halfpipe	Silver
Taku Hiraoka	JPN	Sochi	2014	Snowboarding	Snowboarding Men's Halfpipe	Bronze
Corey Hirsch	CAN	Lillehammer	1994	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Marcel Hirscher	AUT	Sochi	2014	Alpine Skiing	Alpine Skiing Men's Slalom	Silver
Heikki Hirvonen	FIN	Chamonix	1924	Military Ski Patrol	Military Ski Patrol Men's Military Ski Patrol	Silver
Peter Michael Hjlm	SWE	Sarajevo	1984	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Peter Michael Hjlm	SWE	Calgary	1988	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Niklas Sivert Hjalmarsson	SWE	Sochi	2014	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Odd-Bjrn Hjelmeset	NOR	Salt Lake City	2002	Cross Country Skiing	Cross Country Skiing Men's 50 kilometres	Bronze
Odd-Bjrn Hjelmeset	NOR	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Silver
Ivan Hlinka	TCH	Sapporo	1972	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Ivan Hlinka	TCH	Innsbruck	1976	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Todd Bradley Hlushko	CAN	Lillehammer	1994	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Milan Hnilika	CZE	Torino	2006	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Dorothea ""Thea"" Hochleitner (Seer-)	AUT	Cortina d'Ampezzo	1956	Alpine Skiing	Alpine Skiing Women's Giant Slalom	Bronze
Stefan Hck	FRG	Calgary	1988	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Silver
Stephan Hocke	GER	Salt Lake City	2002	Ski Jumping	Ski Jumping Men's Large Hill, Team	Gold
Lukas Hofer	ITA	Sochi	2014	Biathlon	Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay	Bronze
Ambrosi Hoffmann	SUI	Torino	2006	Alpine Skiing	Alpine Skiing Men's Super G	Bronze
Andr Hoffmann	GDR	Calgary	1988	Speed Skating	Speed Skating Men's 1,500 metres	Gold
Christian Hoffmann	AUT	Nagano	1998	Cross Country Skiing	Cross Country Skiing Men's 50 kilometres	Bronze
Christian Hoffmann	AUT	Salt Lake City	2002	Cross Country Skiing	Cross Country Skiing Men's 30 kilometres	Gold
Jan Hoffmann	GDR	Lake Placid	1980	Figure Skating	Figure Skating Men's Singles	Silver
Jrg Hoffmann	GDR	Sarajevo	1984	Luge	Luge Mixed (Men)'s Doubles	Bronze
Jrg Hoffmann	GDR	Calgary	1988	Luge	Luge Mixed (Men)'s Doubles	Gold
Olaf Hoffsbakken	NOR	Garmisch-Partenkirchen	1936	Nordic Combined	Nordic Combined Men's Individual	Silver
Olaf Hoffsbakken	NOR	Garmisch-Partenkirchen	1936	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Silver
Maria Hfl-Riesch	GER	Vancouver	2010	Alpine Skiing	Alpine Skiing Women's Slalom	Gold
Maria Hfl-Riesch	GER	Vancouver	2010	Alpine Skiing	Alpine Skiing Women's Combined	Gold
Maria Hfl-Riesch	GER	Sochi	2014	Alpine Skiing	Alpine Skiing Women's Super G	Silver
Maria Hfl-Riesch	GER	Sochi	2014	Alpine Skiing	Alpine Skiing Women's Combined	Gold
Willi Hofmann	SUI	Grenoble	1968	Bobsleigh	Bobsleigh Men's Four	Bronze
Hans Johnny Hglin	SWE	Grenoble	1968	Speed Skating	Speed Skating Men's 10,000 metres	Gold
Marcel Hhlig	GER	Salt Lake City	2002	Nordic Combined	Nordic Combined Men's Team	Silver
Steven ""Steve"" Holcomb	USA	Vancouver	2010	Bobsleigh	Bobsleigh Men's Four	Gold
Steven ""Steve"" Holcomb	USA	Sochi	2014	Bobsleigh	Bobsleigh Men's Two	Bronze
Steven ""Steve"" Holcomb	USA	Sochi	2014	Bobsleigh	Bobsleigh Men's Four	Bronze
Ji Holeek	TCH	Sapporo	1972	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Ji Holeek	TCH	Innsbruck	1976	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Jaroslav Holk	TCH	Sapporo	1972	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Ji Holk	TCH	Innsbruck	1964	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Ji Holk	TCH	Grenoble	1968	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Ji Holk	TCH	Sapporo	1972	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Ji Holk	TCH	Innsbruck	1976	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Mellisa Hollingsworth-Richards	CAN	Torino	2006	Skeleton	Skeleton Women's Skeleton	Bronze
Martin Hllwarth	AUT	Albertville	1992	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Silver
Martin Hllwarth	AUT	Albertville	1992	Ski Jumping	Ski Jumping Men's Large Hill, Individual	Silver
Martin Hllwarth	AUT	Albertville	1992	Ski Jumping	Ski Jumping Men's Large Hill, Team	Silver
Martin Hllwarth	AUT	Nagano	1998	Ski Jumping	Ski Jumping Men's Large Hill, Team	Bronze
Dorthe Elisabeth Holm	DEN	Nagano	1998	Curling	Curling Women's Curling	Silver
Geoffrey Holmes	GBR	Chamonix	1924	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Leif Martin Holmgren	SWE	Lake Placid	1980	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Anna Ida Holmlund	SWE	Sochi	2014	Freestyle Skiing	Freestyle Skiing Women's Ski Cross	Bronze
Birger Ivar Holmqvist	SWE	Sankt Moritz	1928	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Karl Johan Holmstrm	SWE	Oslo	1952	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Bronze
Bengt Tomas Holmstrm	SWE	Torino	2006	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Ylva Erika Holst	SWE	Salt Lake City	2002	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Ylva Erika Holst	SWE	Torino	2006	Ice Hockey	Ice Hockey Women's Ice Hockey	Silver
Dianne Mary Holum	USA	Grenoble	1968	Speed Skating	Speed Skating Women's 500 metres	Silver
Dianne Mary Holum	USA	Grenoble	1968	Speed Skating	Speed Skating Women's 1,000 metres	Bronze
Dianne Mary Holum	USA	Sapporo	1972	Speed Skating	Speed Skating Women's 1,500 metres	Gold
Dianne Mary Holum	USA	Sapporo	1972	Speed Skating	Speed Skating Women's 3,000 metres	Silver
Ulrike Holzner	GER	Salt Lake City	2002	Bobsleigh	Bobsleigh Women's Two	Silver
Henry Anton Homburger	USA	Lake Placid	1932	Bobsleigh	Bobsleigh Men's Four	Silver
Ruslan Mykolaiovych Honcharov	UKR	Torino	2006	Figure Skating	Figure Skating Mixed Ice Dancing	Bronze
Ren Hoppe	GER	Torino	2006	Bobsleigh	Bobsleigh Men's Four	Gold
Wolfgang Hoppe	GDR	Sarajevo	1984	Bobsleigh	Bobsleigh Men's Two	Gold
Wolfgang Hoppe	GDR	Sarajevo	1984	Bobsleigh	Bobsleigh Men's Four	Gold
Wolfgang Hoppe	GDR	Calgary	1988	Bobsleigh	Bobsleigh Men's Two	Silver
Wolfgang Hoppe	GDR	Calgary	1988	Bobsleigh	Bobsleigh Men's Four	Silver
Wolfgang Hoppe	GER	Albertville	1992	Bobsleigh	Bobsleigh Men's Four	Silver
Wolfgang Hoppe	GER	Lillehammer	1994	Bobsleigh	Bobsleigh Men's Four	Bronze
Miloslav Hoava	TCH	Sarajevo	1984	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Miloslav Hoava	TCH	Albertville	1992	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Josef Horeovsk	TCH	Grenoble	1968	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Josef Horeovsk	TCH	Sapporo	1972	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Manabu Horii	JPN	Lillehammer	1994	Speed Skating	Speed Skating Men's 500 metres	Bronze
Fanny Welle-Strand Horn (-Birkeland)	NOR	Sochi	2014	Biathlon	Biathlon Women's 4 x 6 kilometres Relay	Bronze
James Alfred ""Buddy"" Horne	CAN	Cortina d'Ampezzo	1956	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Stefan Horngacher	AUT	Lillehammer	1994	Ski Jumping	Ski Jumping Men's Large Hill, Team	Bronze
Stefan Horngacher	AUT	Nagano	1998	Ski Jumping	Ski Jumping Men's Large Hill, Team	Bronze
Horst Hrnlein	GDR	Sapporo	1972	Luge	Luge Mixed (Men)'s Doubles	Gold
Edmund Carlton ""Ed"" Horton	USA	Lake Placid	1932	Bobsleigh	Bobsleigh Men's Four	Silver
Nicole Hosp	AUT	Torino	2006	Alpine Skiing	Alpine Skiing Women's Slalom	Silver
Nicole Hosp	AUT	Sochi	2014	Alpine Skiing	Alpine Skiing Women's Super G	Bronze
Nicole Hosp	AUT	Sochi	2014	Alpine Skiing	Alpine Skiing Women's Combined	Silver
Emmanuel Hostache	FRA	Nagano	1998	Bobsleigh	Bobsleigh Men's Four	Bronze
Max Houben	BEL	Sankt Moritz	1948	Bobsleigh	Bobsleigh Men's Four	Silver
Phillip Francis ""Phil"" Housley	USA	Salt Lake City	2002	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Venla Hovi	FIN	Vancouver	2010	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Russell W. ""Russ"" Howard	CAN	Torino	2006	Curling	Curling Men's Curling	Gold
Mark Steven Howe	USA	Sapporo	1972	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Dara Howell	CAN	Sochi	2014	Freestyle Skiing	Freestyle Skiing Women's Slopestyle	Gold
Mario Hoyer	GDR	Calgary	1988	Bobsleigh	Bobsleigh Men's Two	Bronze
Masako Hozumi	JPN	Vancouver	2010	Speed Skating	Speed Skating Women's Team Pursuit (6 laps)	Silver
Jan Hrbat	TCH	Grenoble	1968	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Petr Hrbek	TCH	Albertville	1992	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Ji Hrdina	TCH	Sarajevo	1984	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Olena Eduardivna Hrushyna (-Honcharova-)	UKR	Torino	2006	Figure Skating	Figure Skating Mixed Ice Dancing	Bronze
Eduard ""Edy"" Hubacher	SUI	Sapporo	1972	Bobsleigh	Bobsleigh Men's Two	Bronze
Eduard ""Edy"" Hubacher	SUI	Sapporo	1972	Bobsleigh	Bobsleigh Men's Four	Gold
Andrea Huber	SUI	Salt Lake City	2002	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Bronze
Anja Huber (-Selbach)	GER	Vancouver	2010	Skeleton	Skeleton Women's Skeleton	Bronze
Gnther Huber	ITA	Lillehammer	1994	Bobsleigh	Bobsleigh Men's Two	Bronze
Gnther Huber	ITA	Nagano	1998	Bobsleigh	Bobsleigh Men's Two	Gold
Herbert Huber	AUT	Grenoble	1968	Alpine Skiing	Alpine Skiing Men's Slalom	Silver
Norbert Huber	ITA	Albertville	1992	Luge	Luge Mixed (Men)'s Doubles	Bronze
Norbert Huber	ITA	Lillehammer	1994	Luge	Luge Mixed (Men)'s Doubles	Silver
Sebastian Huber	GER	Sankt Moritz	1928	Bobsleigh	Bobsleigh Men's Four/Five	Bronze
Sebastian Huber	GER	Lake Placid	1932	Bobsleigh	Bobsleigh Men's Four	Bronze
Wilfried ""Willy"" Huber	ITA	Lillehammer	1994	Luge	Luge Mixed (Men)'s Doubles	Gold
Anthony Francis ""Fran"" Huck	CAN	Grenoble	1968	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Jan Hudec	CAN	Sochi	2014	Alpine Skiing	Alpine Skiing Men's Super G	Bronze
Henry Dewey Louis ""Lou"" Hudson	CAN	Sankt Moritz	1928	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Tatjana Hfner	GER	Torino	2006	Luge	Luge Women's Singles	Bronze
Tatjana Hfner	GER	Vancouver	2010	Luge	Luge Women's Singles	Gold
Tatjana Hfner	GER	Sochi	2014	Luge	Luge Women's Singles	Silver
Clara Hughes	CAN	Salt Lake City	2002	Speed Skating	Speed Skating Women's 5,000 metres	Bronze
Clara Hughes	CAN	Torino	2006	Speed Skating	Speed Skating Women's 5,000 metres	Gold
Clara Hughes	CAN	Torino	2006	Speed Skating	Speed Skating Women's Team Pursuit (6 laps)	Silver
Clara Hughes	CAN	Vancouver	2010	Speed Skating	Speed Skating Women's 5,000 metres	Bronze
Sarah Elizabeth Hughes	USA	Salt Lake City	2002	Figure Skating	Figure Skating Women's Singles	Gold
Alf Petter Hugsted	NOR	Sankt Moritz	1948	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Gold
Martti Elias Huhtala	FIN	Sankt Moritz	1948	Nordic Combined	Nordic Combined Men's Individual	Silver
Vin Veikko Sakari Huhtala	FIN	Squaw Valley	1960	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Vin Veikko Sakari Huhtala	FIN	Innsbruck	1964	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Silver
Brett Andrew Hull	USA	Salt Lake City	2002	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Vivi-Anne Hultn (-Theslof, -Tholand)	SWE	Garmisch-Partenkirchen	1936	Figure Skating	Figure Skating Women's Singles	Bronze
Kaillie Humphries (Simondson-)	CAN	Vancouver	2010	Bobsleigh	Bobsleigh Women's Two	Gold
Kaillie Humphries (Simondson-)	CAN	Sochi	2014	Bobsleigh	Bobsleigh Women's Two	Gold
Satu Anne-Marie Huotari	FIN	Nagano	1998	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Pavol Hurajt	SVK	Vancouver	2010	Biathlon	Biathlon Men's 15 kilometres Mass Start	Bronze
Alexander Brengle ""Alex"" Hurd	CAN	Lake Placid	1932	Speed Skating	Speed Skating Men's 500 metres	Bronze
Alexander Brengle ""Alex"" Hurd	CAN	Lake Placid	1932	Speed Skating	Speed Skating Men's 1,500 metres	Silver
Harold Anthony ""Boat"" Hurley	CAN	Squaw Valley	1960	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Patrick Hrlimann	SUI	Nagano	1998	Curling	Curling Men's Curling	Gold
Arthur ""Art"" Hurst	CAN	Cortina d'Ampezzo	1956	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Eevi Maria Huttunen (-Pirinen)	FIN	Squaw Valley	1960	Speed Skating	Speed Skating Women's 3,000 metres	Bronze
Hwang Ok-Sil	PRK	Albertville	1992	Short Track Speed Skating	Short Track Speed Skating Women's 500 metres	Bronze
Gordon Ross ""Gord"" Hynes	CAN	Albertville	1992	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Antti Abram Hyvrinen	FIN	Cortina d'Ampezzo	1956	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Gold
Eija Marita Hyytiinen (-Ristanen)	FIN	Sarajevo	1984	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Bronze
Lydia Ierodiaconou-Lassila	AUS	Vancouver	2010	Freestyle Skiing	Freestyle Skiing Women's Aerials	Gold
Lydia Ierodiaconou-Lassila	AUS	Sochi	2014	Freestyle Skiing	Freestyle Skiing Women's Aerials	Bronze
Chiharu Igaya	JPN	Cortina d'Ampezzo	1956	Alpine Skiing	Alpine Skiing Men's Slalom	Silver
Jarome Arthur-Leigh Adekunle Tig Junior Elvis Iginla	CAN	Salt Lake City	2002	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Jarome Arthur-Leigh Adekunle Tig Junior Elvis Iginla	CAN	Vancouver	2010	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Marianne Ihalainen	FIN	Nagano	1998	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Heikki Johannes Ikola	FIN	Sapporo	1972	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Silver
Heikki Johannes Ikola	FIN	Innsbruck	1976	Biathlon	Biathlon Men's 20 kilometres	Silver
Heikki Johannes Ikola	FIN	Innsbruck	1976	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Silver
Willard John Ikola	USA	Cortina d'Ampezzo	1956	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Johanna Annikki Ikonen	FIN	Nagano	1998	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Yelena Ruslanovna Ilyinykh	RUS	Sochi	2014	Figure Skating	Figure Skating Mixed Ice Dancing	Bronze
Yelena Ruslanovna Ilyinykh	RUS	Sochi	2014	Figure Skating	Figure Skating Mixed Team	Gold
Yekaterina Sergeyevna Ilyukhina	RUS	Vancouver	2010	Snowboarding	Snowboarding Women's Parallel Giant Slalom	Silver
Daniel James ""Dan"" Immerfall	USA	Innsbruck	1976	Speed Skating	Speed Skating Men's 500 metres	Bronze
Jarkko Immonen	FIN	Vancouver	2010	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Jarkko Immonen	FIN	Sochi	2014	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Tommy Wiggen Ingebrigtsen	NOR	Torino	2006	Ski Jumping	Ski Jumping Men's Large Hill, Team	Bronze
Ida Maria Erika Ingemarsdotter	SWE	Sochi	2014	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Gold
Ida Maria Erika Ingemarsdotter	SWE	Sochi	2014	Cross Country Skiing	Cross Country Skiing Women's Team Sprint	Bronze
Anton ""Toni"" Innauer	AUT	Innsbruck	1976	Ski Jumping	Ski Jumping Men's Large Hill, Individual	Silver
Anton ""Toni"" Innauer	AUT	Lake Placid	1980	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Gold
Christof Innerhofer	ITA	Sochi	2014	Alpine Skiing	Alpine Skiing Men's Downhill	Silver
Christof Innerhofer	ITA	Sochi	2014	Alpine Skiing	Alpine Skiing Men's Combined	Bronze
Junichi Inoue	JPN	Albertville	1992	Speed Skating	Speed Skating Men's 500 metres	Bronze
